customerID,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_group,Contract,PaperlessBilling,PaymentMethod,InternetService,TechSupport,StreamingTV,StreamingMovies,MonthlyCharges,TotalCharges,revenue_segment,early_churn_flag,risk_profile,Churn,churn_flag
8168-UQWWF,Female,No,false,false,11,0-11 Months,Month-to-month,true,Bank transfer (automatic),Fiber optic,No,Yes,Yes,97.85,1105.4,High Value,No,High Risk,true,1
8865-TNMNX,Male,No,true,true,10,0-11 Months,One year,false,Mailed check,DSL,No,No,No,49.55,475.7,Mid Value,No,Normal,false,0
9489-DEDVP,Female,No,true,true,70,49+ Months,Two year,true,Credit card (automatic),DSL,No,Yes,No,69.2,4872.35,Mid Value,No,Normal,false,0
9867-JCZSP,Female,No,true,true,17,12-24 Months,One year,false,Mailed check,No,No internet service,No internet service,No internet service,20.75,418.25,Low Value,No,Normal,false,0
4671-VJLCL,Female,No,false,false,63,49+ Months,Two year,true,Credit card (automatic),DSL,Yes,Yes,No,79.85,4861.45,High Value,No,Normal,false,0
4080-IIARD,Female,No,true,false,13,12-24 Months,Month-to-month,true,Electronic check,DSL,Yes,Yes,No,76.2,981.45,High Value,No,Normal,false,0
3714-NTNFO,Female,No,false,false,49,49+ Months,Month-to-month,true,Electronic check,Fiber optic,No,No,Yes,84.5,3906.7,High Value,No,Normal,false,0
5948-UJZLF,Male,No,false,false,2,0-11 Months,Month-to-month,false,Mailed check,DSL,No,No,No,49.25,97.0,Mid Value,No,Normal,false,0
7760-OYPDY,Female,No,false,false,2,0-11 Months,Month-to-month,true,Electronic check,Fiber optic,No,Yes,No,80.65,144.15,High Value,Early Churn,High Risk,true,1
7639-LIAYI,Male,No,false,false,52,49+ Months,Two year,true,Credit card (automatic),DSL,Yes,Yes,Yes,79.75,4217.8,High Value,No,Normal,false,0
2954-PIBKO,Female,No,true,true,69,49+ Months,Two year,true,Credit card (automatic),DSL,Yes,No,No,64.15,4254.1,Mid Value,No,Normal,false,0
8012-SOUDQ,Female,Yes,false,false,43,25-48 Months,Month-to-month,true,Electronic check,Fiber optic,No,Yes,No,90.25,3838.75,High Value,No,Normal,false,0
9420-LOJKX,Female,No,false,false,15,12-24 Months,Month-to-month,true,Credit card (automatic),Fiber optic,No,Yes,Yes,99.1,1426.4,High Value,No,Normal,true,1
6575-SUVOI,Female,Yes,true,false,25,25-48 Months,Month-to-month,true,Credit card (automatic),DSL,Yes,Yes,No,69.5,1752.65,Mid Value,No,Normal,false,0
7495-OOKFY,Female,Yes,true,false,8,0-11 Months,Month-to-month,true,Credit card (automatic),Fiber optic,No,No,No,80.65,633.3,High Value,No,High Risk,true,1
4667-QONEA,Female,Yes,true,true,60,49+ Months,One year,true,Credit card (automatic),DSL,Yes,No,Yes,74.85,4456.35,Mid Value,No,Normal,false,0
1658-BYGOY,Male,Yes,false,false,18,12-24 Months,Month-to-month,true,Electronic check,Fiber optic,No,Yes,Yes,95.45,1752.55,High Value,No,Normal,true,1
8769-KKTPH,Female,No,true,true,63,49+ Months,One year,true,Credit card (automatic),Fiber optic,No,Yes,Yes,99.65,6311.2,High Value,No,Normal,false,0
5067-XJQFU,Male,Yes,true,true,66,49+ Months,One year,true,Electronic check,Fiber optic,Yes,Yes,Yes,108.45,7076.35,High Value,No,Normal,false,0
3957-SQXML,Female,No,true,true,34,25-48 Months,Two year,false,Credit card (automatic),No,No internet service,No internet service,No internet service,24.95,894.3,Low Value,No,Normal,false,0
5954-BDFSG,Female,No,false,false,72,49+ Months,Two year,true,Credit card (automatic),Fiber optic,Yes,Yes,Yes,107.5,7853.7,High Value,No,Normal,false,0
0434-CSFON,Female,No,true,false,47,25-48 Months,Month-to-month,true,Electronic check,Fiber optic,No,Yes,Yes,100.5,4707.1,High Value,No,Normal,false,0
1215-FIGMP,Male,No,false,false,60,49+ Months,Month-to-month,true,Bank transfer (automatic),Fiber optic,No,Yes,No,89.9,5450.7,High Value,No,Normal,false,0
0526-SXDJP,Male,No,true,false,72,49+ Months,Two year,false,Bank transfer (automatic),DSL,No,No,No,42.1,2962.0,Mid Value,No,Normal,false,0
0557-ASKVU,Female,No,true,true,18,12-24 Months,One year,true,Credit card (automatic),DSL,Yes,No,No,54.4,957.1,Mid Value,No,Normal,false,0
5698-BQJOH,Female,No,false,false,9,0-11 Months,Month-to-month,false,Electronic check,Fiber optic,No,Yes,Yes,94.4,857.25,High Value,No,High Risk,true,1
5122-CYFXA,Female,No,false,false,3,0-11 Months,Month-to-month,true,Electronic check,DSL,Yes,Yes,Yes,75.3,244.1,High Value,No,High Risk,false,0
8627-ZYGSZ,Male,No,true,false,47,25-48 Months,One year,true,Electronic check,Fiber optic,No,No,No,78.9,3650.35,High Value,No,Normal,false,0
3410-YOQBQ,Female,No,false,false,31,25-48 Months,Two year,false,Mailed check,DSL,Yes,Yes,Yes,79.2,2497.2,High Value,No,Normal,false,0
3170-NMYVV,Female,No,true,true,50,49+ Months,Two year,false,Bank transfer (automatic),No,No internet service,No internet service,No internet service,20.15,930.9,Low Value,No,Normal,false,0
7410-OIEDU,Male,No,false,false,10,0-11 Months,Month-to-month,true,Mailed check,Fiber optic,No,No,No,79.85,887.35,High Value,No,High Risk,false,0
2273-QCKXA,Male,No,false,false,1,0-11 Months,Month-to-month,false,Mailed check,DSL,Yes,No,No,49.05,49.05,Mid Value,No,Normal,false,0
0731-EBJQB,Female,No,true,true,52,49+ Months,One year,true,Electronic check,No,No internet service,No internet service,No internet service,20.4,1090.65,Low Value,No,Normal,false,0
1891-QRQSA,Male,Yes,true,true,64,49+ Months,Two year,true,Bank transfer (automatic),Fiber optic,Yes,Yes,Yes,111.6,7099.0,High Value,No,Normal,false,0
8028-PNXHQ,Male,No,true,true,62,49+ Months,Two year,true,Bank transfer (automatic),No,No internet service,No internet service,No internet service,24.25,1424.6,Low Value,No,Normal,false,0
5630-AHZIL,Female,No,false,true,3,0-11 Months,Month-to-month,true,Bank transfer (automatic),DSL,Yes,No,Yes,64.5,177.4,Mid Value,No,Normal,false,0
2673-CXQEU,Female,Yes,false,false,56,49+ Months,One year,false,Electronic check,Fiber optic,No,Yes,Yes,110.5,6139.5,High Value,No,Normal,false,0
6416-JNVRK,Female,No,false,false,46,25-48 Months,One year,false,Credit card (automatic),DSL,No,No,Yes,55.65,2688.85,Mid Value,No,Normal,false,0
5590-ZSKRV,Female,No,true,true,8,0-11 Months,Month-to-month,false,Mailed check,DSL,No,No,No,54.65,482.25,Mid Value,No,Normal,false,0
0191-ZHSKZ,Male,Yes,false,false,30,25-48 Months,Month-to-month,true,Electronic check,DSL,No,Yes,Yes,74.75,2111.3,Mid Value,No,Normal,false,0
3887-PBQAO,Female,No,true,true,45,25-48 Months,One year,true,Credit card (automatic),No,No internet service,No internet service,No internet service,25.9,1216.6,Low Value,No,Normal,false,0
5919-TMRGD,Female,No,false,true,1,0-11 Months,Month-to-month,true,Electronic check,Fiber optic,No,Yes,No,79.35,79.35,High Value,Early Churn,High Risk,true,1
8108-UXRQN,Female,No,true,true,11,0-11 Months,Month-to-month,false,Electronic check,DSL,No,Yes,Yes,50.55,565.35,Mid Value,No,Normal,false,0
9191-MYQKX,Female,No,true,false,7,0-11 Months,Month-to-month,true,Bank transfer (automatic),Fiber optic,No,No,No,75.15,496.9,High Value,No,High Risk,true,1
9919-YLNNG,Female,No,false,false,42,25-48 Months,Month-to-month,true,Bank transfer (automatic),Fiber optic,Yes,Yes,Yes,103.8,4327.5,High Value,No,Normal,false,0
0318-ZOPWS,Female,No,true,false,49,49+ Months,Two year,true,Bank transfer (automatic),No,No internet service,No internet service,No internet service,20.15,973.35,Low Value,No,Normal,false,0
4445-ZJNMU,Male,No,false,false,9,0-11 Months,Month-to-month,true,Credit card (automatic),Fiber optic,No,Yes,Yes,99.3,918.75,High Value,No,High Risk,false,0
4808-YNLEU,Female,No,true,false,35,25-48 Months,One year,true,Bank transfer (automatic),DSL,No,Yes,No,62.15,2215.45,Mid Value,No,Normal,false,0
1862-QRWPE,Female,No,true,true,48,25-48 Months,Two year,false,Bank transfer (automatic),No,No internet service,No internet service,No internet service,20.65,1057.0,Low Value,No,Normal,false,0
2796-NNUFI,Female,No,true,true,46,25-48 Months,Two year,true,Mailed check,No,No internet service,No internet service,No internet service,19.95,927.1,Low Value,No,Normal,false,0
3016-KSVCP,Male,No,true,false,29,25-48 Months,Month-to-month,false,Mailed check,DSL,No,Yes,No,33.75,1009.25,Low Value,No,Normal,false,0
4767-HZZHQ,Male,No,true,true,30,25-48 Months,Month-to-month,false,Bank transfer (automatic),Fiber optic,No,No,No,82.05,2570.2,High Value,No,Normal,false,0
2424-WVHPL,Male,Yes,false,false,1,0-11 Months,Month-to-month,false,Electronic check,Fiber optic,Yes,No,No,74.7,74.7,Mid Value,No,High Risk,false,0
7233-PAHHL,Male,No,true,true,66,49+ Months,Two year,true,Mailed check,DSL,Yes,Yes,Yes,84.0,5714.25,High Value,No,Normal,false,0
6067-NGCEU,Female,No,false,false,65,49+ Months,Month-to-month,true,Credit card (automatic),Fiber optic,No,Yes,Yes,111.05,7107.0,High Value,No,Normal,false,0
9848-JQJTX,Male,No,false,false,72,49+ Months,Two year,true,Bank transfer (automatic),Fiber optic,No,Yes,Yes,100.9,7459.05,High Value,No,Normal,false,0
8637-XJIVR,Female,No,false,false,12,12-24 Months,Month-to-month,true,Electronic check,Fiber optic,No,No,No,78.95,927.35,High Value,No,Normal,true,1
9803-FTJCG,Male,No,true,true,71,49+ Months,One year,true,Credit card (automatic),DSL,Yes,No,No,66.85,4748.7,Mid Value,No,Normal,false,0
0278-YXOOG,Male,No,false,false,5,0-11 Months,Month-to-month,false,Mailed check,No,No internet service,No internet service,No internet service,21.05,113.85,Low Value,Early Churn,Normal,true,1
3212-KXOCR,Male,No,false,false,52,49+ Months,Two year,false,Bank transfer (automatic),No,No internet service,No internet service,No internet service,21.0,1107.2,Low Value,No,Normal,false,0
4598-XLKNJ,Female,Yes,true,false,25,25-48 Months,Month-to-month,true,Electronic check,Fiber optic,No,Yes,Yes,98.5,2514.5,High Value,No,Normal,true,1
6380-ARCEH,Male,No,false,false,1,0-11 Months,Month-to-month,false,Mailed check,No,No internet service,No internet service,No internet service,20.2,20.2,Low Value,No,Normal,false,0
3679-XASPY,Female,No,true,true,1,0-11 Months,Month-to-month,false,Electronic check,No,No internet service,No internet service,No internet service,19.45,19.45,Low Value,No,Normal,false,0
7123-WQUHX,Male,No,false,false,38,25-48 Months,One year,false,Bank transfer (automatic),Fiber optic,Yes,Yes,No,95.0,3605.6,High Value,No,Normal,false,0
5386-THSLQ,Female,Yes,true,false,66,49+ Months,One year,false,Bank transfer (automatic),DSL,No,Yes,No,45.55,3027.25,Mid Value,No,Normal,false,0
3192-NQECA,Male,No,true,false,68,49+ Months,Two year,true,Bank transfer (automatic),Fiber optic,Yes,Yes,Yes,110.0,7611.85,High Value,No,Normal,true,1
6180-YBIQI,Male,No,false,false,5,0-11 Months,Month-to-month,false,Mailed check,DSL,No,No,No,24.3,100.2,Low Value,No,Normal,false,0
6728-DKUCO,Female,No,true,true,72,49+ Months,One year,true,Electronic check,Fiber optic,No,Yes,Yes,104.15,7303.05,High Value,No,Normal,false,0
9750-BOOHV,Female,No,false,false,32,25-48 Months,One year,false,Mailed check,DSL,No,No,No,30.15,927.65,Low Value,No,Normal,false,0
8597-CWYHH,Male,No,false,false,43,25-48 Months,One year,false,Mailed check,Fiber optic,No,Yes,Yes,94.35,3921.3,High Value,No,Normal,false,0
2848-YXSMW,Male,No,true,true,72,49+ Months,Two year,false,Credit card (automatic),No,No internet service,No internet service,No internet service,19.4,1363.25,Low Value,No,Normal,false,0
0486-HECZI,Male,No,true,false,55,49+ Months,Month-to-month,true,Electronic check,Fiber optic,No,Yes,No,96.75,5238.9,High Value,No,Normal,true,1
4549-ZDQYY,Female,No,false,false,52,49+ Months,One year,false,Credit card (automatic),DSL,Yes,No,No,57.95,3042.25,Mid Value,No,Normal,false,0
5712-AHQNN,Female,No,false,false,43,25-48 Months,Month-to-month,true,Electronic check,Fiber optic,No,Yes,No,91.65,3954.1,High Value,No,Normal,false,0
4846-WHAFZ,Female,Yes,true,false,37,25-48 Months,Month-to-month,true,Electronic check,Fiber optic,No,No,No,76.5,2868.15,High Value,No,Normal,true,1
5256-SKJGO,Female,No,true,true,64,49+ Months,Two year,true,Electronic check,DSL,Yes,Yes,Yes,54.6,3423.5,Mid Value,No,Normal,false,0
3071-VBYPO,Male,No,true,true,3,0-11 Months,Month-to-month,false,Electronic check,Fiber optic,No,Yes,No,89.85,248.4,High Value,No,High Risk,false,0
9560-BBZXK,Female,No,false,false,36,25-48 Months,Two year,false,Bank transfer (automatic),DSL,No,No,No,31.05,1126.35,Low Value,No,Normal,false,0
5299-RULOA,Female,No,true,true,10,0-11 Months,Month-to-month,true,Electronic check,Fiber optic,No,Yes,Yes,100.25,1064.65,High Value,No,High Risk,true,1
8402-OOOHJ,Female,No,false,false,41,25-48 Months,Two year,false,Mailed check,No,No internet service,No internet service,No internet service,20.65,835.15,Low Value,No,Normal,false,0
9445-ZUEQE,Male,No,true,true,27,25-48 Months,Month-to-month,true,Credit card (automatic),Fiber optic,Yes,No,No,85.2,2151.6,High Value,No,Normal,false,0
1091-SOZGA,Female,No,true,true,56,49+ Months,One year,true,Credit card (automatic),Fiber optic,No,Yes,Yes,99.8,5515.45,High Value,No,Normal,false,0
2928-HLDBA,Female,No,false,false,6,0-11 Months,Month-to-month,false,Mailed check,No,No internet service,No internet service,No internet service,20.7,112.75,Low Value,No,Normal,false,0
0404-SWRVG,Male,No,false,false,3,0-11 Months,Month-to-month,true,Electronic check,Fiber optic,No,No,No,74.4,229.55,Mid Value,Early Churn,High Risk,true,1
6497-TILVL,Female,No,true,true,7,0-11 Months,Month-to-month,false,Mailed check,DSL,No,No,No,50.7,350.35,Mid Value,No,Normal,false,0
7219-TLZHO,Female,No,true,true,4,0-11 Months,Month-to-month,false,Mailed check,No,No internet service,No internet service,No internet service,20.85,62.9,Low Value,No,Normal,false,0
4622-YNKIJ,Male,No,false,false,33,25-48 Months,Two year,true,Electronic check,Fiber optic,Yes,Yes,No,88.95,3027.65,High Value,No,Normal,false,0
4412-YLTKF,Female,Yes,false,false,27,25-48 Months,Month-to-month,true,Electronic check,Fiber optic,No,No,No,78.05,2135.5,High Value,No,Normal,true,1
6734-PSBAW,Male,No,true,false,72,49+ Months,Two year,true,Bank transfer (automatic),No,No internet service,No internet service,No internet service,23.55,1723.95,Low Value,No,Normal,false,0
3930-ZGWVE,Male,No,false,false,1,0-11 Months,Month-to-month,false,Mailed check,No,No internet service,No internet service,No internet service,19.75,19.75,Low Value,No,Normal,false,0
2639-UGMAZ,Male,Yes,false,false,71,49+ Months,One year,true,Electronic check,DSL,No,Yes,Yes,56.45,3985.35,Mid Value,No,Normal,false,0
2876-GZYZC,Female,No,false,false,13,12-24 Months,Month-to-month,true,Electronic check,Fiber optic,No,No,Yes,85.95,1215.65,High Value,No,Normal,false,0
6207-WIOLX,Female,No,true,true,25,25-48 Months,Month-to-month,true,Credit card (automatic),DSL,No,Yes,Yes,58.6,1502.65,Mid Value,No,Normal,true,1
8587-XYZSF,Male,No,false,false,67,49+ Months,Two year,false,Bank transfer (automatic),DSL,Yes,No,No,50.55,3260.1,Mid Value,No,Normal,false,0
3091-FYHKI,Male,No,false,false,1,0-11 Months,Month-to-month,true,Electronic check,DSL,No,No,Yes,35.45,35.45,Mid Value,Early Churn,Normal,true,1
2372-HWUHI,Male,No,false,false,2,0-11 Months,Month-to-month,false,Electronic check,DSL,No,No,No,44.35,81.25,Mid Value,Early Churn,Normal,true,1
7799-LGRDP,Female,No,false,false,43,25-48 Months,Two year,true,Credit card (automatic),No,No internet service,No internet service,No internet service,25.7,1188.2,Low Value,No,Normal,false,0
7850-VWJUU,Female,No,false,false,23,12-24 Months,Month-to-month,true,Bank transfer (automatic),Fiber optic,No,No,No,75.0,1778.5,Mid Value,No,Normal,false,0
3774-VBNXY,Female,No,true,true,64,49+ Months,Two year,false,Mailed check,No,No internet service,No internet service,No internet service,20.2,1277.75,Low Value,No,Normal,false,0
6217-KDYWC,Male,No,false,true,57,49+ Months,Two year,true,Mailed check,No,No internet service,No internet service,No internet service,19.6,1170.55,Low Value,No,Normal,false,0
0390-DCFDQ,Female,Yes,true,false,1,0-11 Months,Month-to-month,true,Mailed check,Fiber optic,No,No,No,70.45,70.45,Mid Value,Early Churn,High Risk,true,1
3146-MSEGF,Female,Yes,true,true,72,49+ Months,Two year,true,Credit card (automatic),DSL,Yes,Yes,Yes,88.05,6425.65,High Value,No,Normal,false,0
4080-OGPJL,Female,No,false,false,8,0-11 Months,Month-to-month,false,Electronic check,DSL,Yes,No,Yes,71.15,563.65,Mid Value,No,High Risk,true,1
1095-WGNGG,Female,No,true,false,61,49+ Months,Two year,true,Bank transfer (automatic),Fiber optic,No,Yes,Yes,101.05,5971.25,High Value,No,Normal,false,0
2636-SJDOU,Male,No,false,false,64,49+ Months,One year,true,Credit card (automatic),Fiber optic,No,No,No,84.3,5289.05,High Value,No,Normal,false,0
1131-QQZEB,Male,Yes,true,false,71,49+ Months,Two year,false,Bank transfer (automatic),No,No internet service,No internet service,No internet service,23.95,1756.2,Low Value,No,Normal,false,0
5716-EZXZN,Female,No,true,true,65,49+ Months,Two year,true,Credit card (automatic),Fiber optic,Yes,Yes,No,99.05,6416.7,High Value,No,Normal,false,0
6837-BJYDQ,Male,No,false,false,3,0-11 Months,One year,false,Mailed check,No,No internet service,No internet service,No internet service,19.6,61.35,Low Value,No,Normal,false,0
2135-RXIHG,Male,No,false,false,1,0-11 Months,Month-to-month,true,Electronic check,DSL,No,No,No,45.65,45.65,Mid Value,Early Churn,Normal,true,1
6440-DKQGE,Male,No,false,true,30,25-48 Months,One year,false,Credit card (automatic),DSL,No,Yes,No,64.5,1929.95,Mid Value,No,Normal,false,0
3466-BYAVD,Male,No,true,true,15,12-24 Months,Month-to-month,true,Mailed check,DSL,Yes,No,Yes,69.5,1071.4,Mid Value,No,Normal,false,0
3780-YVMFA,Female,No,true,true,8,0-11 Months,Month-to-month,true,Electronic check,DSL,Yes,Yes,Yes,68.55,564.35,Mid Value,No,Normal,false,0
3874-EQOEP,Male,No,false,false,7,0-11 Months,Month-to-month,false,Mailed check,Fiber optic,No,Yes,Yes,95.0,655.5,High Value,No,High Risk,true,1
1679-JRFBR,Female,No,true,true,70,49+ Months,One year,true,Credit card (automatic),Fiber optic,No,Yes,Yes,108.15,7930.55,High Value,No,Normal,false,0
9073-ZZIAY,Male,No,true,true,62,49+ Months,Two year,false,Electronic check,DSL,Yes,Yes,Yes,86.1,5215.25,High Value,No,Normal,false,0
3077-RSNTJ,Female,No,true,true,6,0-11 Months,Month-to-month,false,Mailed check,No,No internet service,No internet service,No internet service,19.7,113.5,Low Value,No,Normal,false,0
6551-GNYDG,Female,No,true,true,14,12-24 Months,Month-to-month,true,Bank transfer (automatic),Fiber optic,No,No,Yes,80.9,1152.8,High Value,No,Normal,false,0
9167-APMXZ,Female,No,false,false,22,12-24 Months,Month-to-month,true,Bank transfer (automatic),Fiber optic,No,Yes,No,84.15,1821.95,High Value,No,Normal,false,0
2749-CTKAJ,Male,No,true,true,22,12-24 Months,One year,false,Mailed check,No,No internet service,No internet service,No internet service,20.15,419.9,Low Value,No,Normal,false,0
6371-NZYEG,Male,No,true,true,16,12-24 Months,Two year,false,Mailed check,DSL,No,Yes,No,64.25,1024.0,Mid Value,No,Normal,false,0
7554-NEWDD,Male,No,false,false,10,0-11 Months,Two year,false,Bank transfer (automatic),No,No internet service,No internet service,No internet service,25.7,251.6,Low Value,No,Normal,false,0
8992-VONJD,Female,No,false,true,13,12-24 Months,Month-to-month,true,Electronic check,DSL,No,No,No,56.0,764.55,Mid Value,No,Normal,false,0
0867-MKZVY,Female,No,true,false,20,12-24 Months,Month-to-month,false,Electronic check,Fiber optic,No,No,No,82.4,1592.35,High Value,No,Normal,true,1
4482-EWFMI,Female,No,false,false,2,0-11 Months,Month-to-month,true,Electronic check,Fiber optic,No,No,No,69.7,135.2,Mid Value,No,Normal,false,0
4648-YPBTM,Male,No,false,false,53,49+ Months,Two year,true,Bank transfer (automatic),DSL,Yes,No,Yes,73.9,3958.25,Mid Value,No,Normal,false,0
2907-ILJBN,Female,No,true,true,11,0-11 Months,One year,false,Mailed check,No,No internet service,No internet service,No internet service,20.6,233.9,Low Value,No,Normal,false,0
6345-FZOQH,Male,No,true,false,69,49+ Months,Two year,false,Mailed check,No,No internet service,No internet service,No internet service,19.9,1363.45,Low Value,No,Normal,false,0
3376-BMGFE,Female,No,false,false,4,0-11 Months,Month-to-month,true,Bank transfer (automatic),Fiber optic,No,No,No,70.9,273.0,Mid Value,Early Churn,High Risk,true,1
5997-OPVFA,Male,No,true,false,72,49+ Months,Two year,true,Bank transfer (automatic),DSL,Yes,Yes,Yes,89.05,6254.45,High Value,No,Normal,false,0
3445-HXXGF,Male,Yes,true,false,58,49+ Months,Month-to-month,true,Electronic check,DSL,No,No,Yes,45.3,2651.2,Mid Value,No,Normal,true,1
